1357	2014-08-07	22647	Remove_ending	1.0.0	22660	Remove beginning1	1.0.0
1357	2014-08-07	22631	Remove_ending	1.0.0	22661	Remove beginning1	1.0.0
1357	2014-08-07	22634	Remove_ending	1.0.0	22662	Remove beginning1	1.0.0
1357	2014-08-07	22620	Remove_ending	1.0.0	22665	Remove beginning1	1.0.0
1357	2014-08-07	22645	Filter1	1.1.0	22667		
1357	2014-08-07	22644	Filter1	1.1.0	22667		
1357	2014-08-07	22643	Filter1	1.1.0	22667		
1357	2014-08-07	22642	Filter1	1.1.0	22667		
1357	2014-08-07	22656	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	22668		
1357	2014-08-07	22652	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	22668		
1357	2014-08-07	22651	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	22668		
1361	2014-08-08	22727	toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.2.8.1	0.2.8.1	22728		
1366	2014-08-08	22767	toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7	0.0.7	22765		
1366	2014-08-08	22770	Grouping1	2.1.0	22768	Remove beginning1	1.0.0
1366	2014-08-08	22773	cshl_word_list_grep	1.0.0	22772	Cut1	1.0.2
1366	2014-08-08	22774	cshl_sort_header	0.1	22773	cshl_word_list_grep	1.0.0
1376	2014-08-13	22877	toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0	1.56.0	22878	toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicardMarkDups/1.56.0	1.56.0
1376	2014-08-13	22876	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	0.2	22881		
1378	2014-08-11	22892	toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.2.8.1	0.2.8.1	22897		
1382	2014-08-11	22915	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0	1.1.0	22914	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.0	1.0.0
1382	2014-08-11	22913	toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.7	0.0.7	22916		
1382	2014-08-11	22914	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.0	1.0.0	22917		
1383	2014-08-11	22924	toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0	1.56.0	22921	toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicardMarkDups/1.56.0	1.56.0
1383	2014-08-11	22921	toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicardMarkDups/1.56.0	1.56.0	22922	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	0.2
1383	2014-08-11	22926	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_indel_realigner/0.0.7	0.0.7	22923	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_realigner_target_creator/0.0.7	0.0.7
1383	2014-08-11	22926	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_indel_realigner/0.0.7	0.0.7	22924	toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0	1.56.0
1383	2014-08-11	22923	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_realigner_target_creator/0.0.7	0.0.7	22924	toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_ReorderSam/1.56.0	1.56.0
1383	2014-08-11	22931	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_variant_apply_recalibration/0.0.7	0.0.7	22930	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_haplotype_caller/0.0.7	0.0.7
1383	2014-08-11	22918	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_variant_apply_recalibration/0.0.7	0.0.7	22932	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_variant_recalibrator/0.0.7	0.0.7
1383	2014-08-11	22922	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	0.2	22933		
1383	2014-08-11	22923	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_realigner_target_creator/0.0.7	0.0.7	22935		
1383	2014-08-11	22932	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_variant_recalibrator/0.0.7	0.0.7	22936		
1383	2014-08-11	22929	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_variant_recalibrator/0.0.7	0.0.7	22938		
1384	2014-08-11	22951	cshl_word_list_grep	1.0.0	22946	Cut1	1.0.2
1384	2014-08-11	22957	Filter1	1.1.0	22953	Filter1	1.1.0
1384	2014-08-11	22956	Filter1	1.1.0	22953	Filter1	1.1.0
1384	2014-08-11	22952	Filter1	1.1.0	22953	Filter1	1.1.0
1384	2014-08-11	22950	cshl_word_list_grep	1.0.0	22960		
1385	2014-08-11	22999	cshl_word_list_grep		22964	wig_to_bigWig	
1385	2014-08-11	23003	cat1		22983	Cut1	
1385	2014-08-11	23006	cat1		22986	Cut1	
1385	2014-08-11	23001	cat1		22987	Cut1	
1385	2014-08-11	23006	cat1		22992	Cut1	
1387	2014-08-11	23026	Grouping1	2.1.0	23025	join1	2.0.2
1387	2014-08-11	23036	cat1	1.0.0	23033	Cut1	1.0.2
1387	2014-08-11	23025	join1	2.0.2	23035	toolshed.g2.bx.psu.edu/repos/devteam/merge_cols/mergeCols1/1.0.1	1.0.1
1387	2014-08-11	23032	Filter1	1.1.0	23039		
1388	2014-11-18	23044	toolshed.g2.bx.psu.edu/repos/anton/vcffilter/vcffilter/0.0.1	0.0.1	23045	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3	0.0.3
1391	2014-08-13	23059	toolshed.g2.bx.psu.edu/repos/devteam/picard/rgPicardMarkDups/1.56.0	1.56.0	23057	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	0.2
1396	2014-11-24	23121	cshl_cut_tool	1.0.0	23118	toolshed.g2.bx.psu.edu/repos/devteam/vcftools_merge/vcftools_merge/0.1	0.1
1396	2014-11-24	23114	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_variant_recalibrator/0.0.7	0.0.7	23128		
1396	2014-11-24	23125	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_indel_realigner/0.0.7	0.0.7	23130		
1396	2014-11-24	23123	toolshed.g2.bx.psu.edu/repos/iuc/gatk2/gatk2_realigner_target_creator/0.0.7	0.0.7	23132		
1402	2014-08-14	23166	toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6	0.6	23164	toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.2.8.1	0.2.8.1
1402	2014-08-14	23168	toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/0.0.6	0.0.6	23165	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.0	1.0.0
1402	2014-08-14	23167	toolshed.g2.bx.psu.edu/repos/devteam/samtools_flagstat/samtools_flagstat/1.0.0	1.0.0	23165	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.0	1.0.0
1413	2014-09-25	23235	toolshed.g2.bx.psu.edu/repos/crs4/bwa_mem/bwa_mem/0.8.0	0.8.0	23238		
1414	2014-09-24	23243	toolshed.g2.bx.psu.edu/repos/iuc/vt_variant_tools/vt_normalize/0.1.0	0.1.0	23240	toolshed.g2.bx.psu.edu/repos/anton/vcfallelicprimitives/vcfallelicprimitives/0.0.1	0.0.1
1414	2014-09-24	23240	toolshed.g2.bx.psu.edu/repos/anton/vcfallelicprimitives/vcfallelicprimitives/0.0.1	0.0.1	23241	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3	0.0.3
1414	2014-09-24	23245	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	23242	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1414	2014-09-24	23241	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/0.0.3	0.0.3	23246		
1417	2014-08-22	23268	bismark_bowtie2	0.10.1	23269	toolshed.g2.bx.psu.edu/repos/bgruening/trim_galore/trim_galore/0.2.8.1	0.2.8.1
1418	2014-08-22	23275	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.0	1.0.0	23272	toolshed.g2.bx.psu.edu/repos/iuc/samtools_sort/samtools_sort/1.0.1	1.0.1
1418	2014-08-22	23272	toolshed.g2.bx.psu.edu/repos/iuc/samtools_sort/samtools_sort/1.0.1	1.0.1	23273	bismark_bowtie2	0.10.1
1418	2014-08-22	23279	smooth_running_window	0.1	23276	methtools_destrand	0.1.1
1418	2014-08-22	23276	methtools_destrand	0.1.1	23277	cshl_sort_header	0.1
1420	2014-08-23	23292	Add_a_column1	1.1.0	23289	smooth_running_window	0.1
1421	2014-09-02	23295	bismark_bowtie	0.10.0	23297		
1422	2014-09-10	23302	toolshed.g2.bx.psu.edu/repos/bgruening/antismash/antismash/2.0.2.2	2.0.2.2	23301	prokaryotic_ncbi_submission	0.1.1
1441	2014-09-22	23373	barchart_gnuplot		23372	Count1	
1449	2014-09-22	23417	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0	23416		
1449	2014-09-22	23419	barchart_gnuplot	1.0.0	23418	Count1	1.0.0
1452	2014-09-22	23433	Count1	1.0.0	23432	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0
1454	2014-09-22	23442	toolshed.g2.bx.psu.edu/repos/devteam/get_flanks/get_flanks1/1.0.0	1.0.0	23441		
1454	2014-09-22	23444	Count1	1.0.0	23443	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0
1456	2014-09-22	23455	barchart_gnuplot	1.0.0	23454	Count1	1.0.0
1457	2014-09-22	23458	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0	23456		
1457	2014-09-22	23459	Count1	1.0.0	23458	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0
1458	2014-09-22	23463	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0	23461		
1462	2014-09-22	23483	Count1	1.0.0	23484	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0
1462	2014-09-22	23484	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0	23485		
1466	2014-09-22	23504	toolshed.g2.bx.psu.edu/repos/devteam/intersect/gops_intersect_1/1.0.0	1.0.0	23502		
1469	2014-09-22	23518	Cut1	1.0.2	23517		
1470	2014-09-22	23523	sort1	1.0.3	23522	Cut1	1.0.2
1472	2014-09-22	23531	cshl_uniq_tool	1.0.0	23530	sort1	1.0.3
1473	2014-09-22	23537	toolshed.g2.bx.psu.edu/repos/iuc/samtools_sort/samtools_sort/1.0.1	1.0.1	23536	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1	1.0.1
1473	2014-09-22	23540	Filter1	1.1.0	23539	methtools_destrand	0.1.1
1473	2014-09-22	23541	smooth_running_window	0.1	23540	Filter1	1.1.0
1475	2014-09-22	23569	join1	2.0.2	23567	Grouping1	2.1.0
1475	2014-09-22	23569	join1	2.0.2	23568	Grouping1	2.1.0
1478	2014-09-23	23586	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23584	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1
1478	2014-09-23	23584	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1	23585	sort1	1.0.3
1479	2014-09-23	23594	toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmsearch/1.1.0.2	1.1.0.2	23591	Extract genomic DNA 1	2.2.3
1479	2014-09-23	23593	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23592	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1479	2014-09-23	23588	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23595		
1480	2014-09-23	23598	sort1	1.0.3	23597	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1482	2014-09-23	23607	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23606		
1482	2014-09-23	23610	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23609	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1
1482	2014-09-23	23612	toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmsearch/1.1.0.2	1.1.0.2	23611	Extract genomic DNA 1	2.2.3
1482	2014-09-23	23613	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23612	toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmsearch/1.1.0.2	1.1.0.2
1483	2014-09-23	23617	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23615	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1
1483	2014-09-23	23615	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1	23616	sort1	1.0.3
1483	2014-09-23	23614	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23618		
1485	2014-09-23	23626	sort1	1.0.3	23624	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1485	2014-09-23	23628	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23625	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1
1486	2014-09-23	23633	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23632		
1487	2014-09-23	23644	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23641	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1490	2014-09-23	23657	sort1	1.0.3	23655	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1490	2014-09-23	23659	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23656	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1
1490	2014-09-23	23656	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1	23657	sort1	1.0.3
1490	2014-09-23	23660	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23661	toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmsearch/1.1.0.2	1.1.0.2
1491	2014-09-23	23666	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1	23665	sort1	1.0.3
1492	2014-09-23	23670	sort1	1.0.3	23669	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1492	2014-09-23	23671	toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1	0.1	23670	sort1	1.0.3
1493	2014-09-23	23677	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0	23676		
1494	2014-09-23	23683	sort1	1.0.3	23682	toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.0.0	1.0.0
1494	2014-09-23	23687	toolshed.g2.bx.psu.edu/repos/bgruening/infernal/infernal_cmsearch/1.1.0.2	1.1.0.2	23686	Extract genomic DNA 1	2.2.3
1495	2014-09-24	23699	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1		23695	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	
1495	2014-09-24	23701	macs2_callpeak		23698	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	
1495	2014-09-24	23700	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1		23698	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	
1495	2014-09-24	23703	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0		23699	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1	
1495	2014-09-24	23708	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0		23700	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1	
1495	2014-09-24	23706	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0		23700	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1	
1495	2014-09-24	23705	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0		23700	toolshed.g2.bx.psu.edu/repos/devteam/samtools_rmdup/samtools_rmdup/1.0.1	
1498	2014-09-24	23749	prokaryotic_ncbi_submission	0.1.1	23748	scaffold2fasta	0.1
1500	2014-09-24	23760	toolshed.g2.bx.psu.edu/repos/crs4/bwa_mem/bwa_mem/0.8.0	0.8.0	23763		
1505	2014-09-25	23793	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4	23792	toolshed.g2.bx.psu.edu/repos/anton/vcfallelicprimitives/vcfallelicprimitives/0.0.1	0.0.1
1505	2014-09-25	23794	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	23793	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1523	2014-09-25	23950	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/3.4	3.4	23949	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4
1527	2014-09-25	23978	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	23974		
1527	2014-09-25	23979	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/3.4	3.4	23978	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4
1541	2014-09-25	24073	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14	freebayes-0.9.14	24071		
1541	2014-09-25	24076	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24075	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1542	2014-09-25	24080	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14	freebayes-0.9.14	24078		
1546	2014-09-25	24109	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24105		
1546	2014-09-25	24107	toolshed.g2.bx.psu.edu/repos/anton/vcfallelicprimitives/vcfallelicprimitives/0.0.1	0.0.1	24106	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14	freebayes-0.9.14
1552	2014-09-25	24148	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24149	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1553	2014-09-25	24155	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14	freebayes-0.9.14	24153		
1553	2014-09-25	24158	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24157	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1560	2014-09-25	24186	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24184	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1561	2014-09-25	24192	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4	24189	toolshed.g2.bx.psu.edu/repos/anton/vcfallelicprimitives/vcfallelicprimitives/0.0.1	0.0.1
1561	2014-09-25	24191	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24195		
1572	2014-09-25	24275	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4	24276	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_filter/3.4	3.4
1578	2014-09-26	24329	toolshed.g2.bx.psu.edu/repos/anton/vcfallelicprimitives/vcfallelicprimitives/0.0.1	0.0.1	24328	toolshed.g2.bx.psu.edu/repos/devteam/freebayes/freebayes/freebayes-0.9.14	freebayes-0.9.14
1578	2014-09-26	24331	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpEff/3.4	3.4	24330	toolshed.g2.bx.psu.edu/repos/iuc/snpeff/snpSift_annotate/3.4	3.4
1581	2014-09-26	24372	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0		24353		
1581	2014-09-26	24362	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeGCBias/1.1.0		24353		
1581	2014-09-26	24377	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0		24353		
1581	2014-09-26	24375	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0		24354		
1581	2014-09-26	24377	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0		24354		
1581	2014-09-26	24367	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0		24355		
1581	2014-09-26	24379	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0		24355		
1581	2014-09-26	24376	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0		24358		
1581	2014-09-26	24380	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0		24359		
1581	2014-09-26	24379	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0		24359		
1583	2014-09-26	24389	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0	1.1.0	24387		
1583	2014-09-26	24391	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0	1.1.0	24388		
1586	2014-09-26	24414	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0	1.1.0	24418		
1586	2014-09-26	24419	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0	1.1.0	24418		
1586	2014-09-26	24416	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0	1.1.0	24420		
1586	2014-09-26	24421	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0	1.1.0	24420		
1586	2014-09-26	24419	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0	1.1.0	24420		
1590	2014-09-26	24520	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	24511	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCompare/1.1.0	1.1.0
1590	2014-09-26	24518	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeGCBias/1.1.0	1.1.0	24514	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	0.2
1590	2014-09-26	24514	toolshed.g2.bx.psu.edu/repos/devteam/bowtie2/bowtie2/0.2	0.2	24521		
1592	2014-09-26	24572	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCompare/1.1.0	1.1.0	24574		
1592	2014-09-26	24571	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0	1.1.0	24574		
1592	2014-09-26	24563	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0	1.1.0	24574		
1592	2014-09-26	24551	macs2_callpeak	2.0.10.0	24574		
1592	2014-09-26	24571	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCorrelate/1.1.0	1.1.0	24575		
1592	2014-09-26	24562	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCoverage/1.1.0	1.1.0	24575		
1592	2014-09-26	24556	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCompare/1.1.0	1.1.0	24575		
1592	2014-09-26	24553	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	24576		
1592	2014-09-26	24553	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	24576		
1592	2014-09-26	24552	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_computeMatrix/1.1.0	1.1.0	24576		
1592	2014-09-26	24569	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamFingerprint/1.1.0	1.1.0	24577		
1592	2014-09-26	24557	macs2_callpeak	2.0.10.0	24577		
1592	2014-09-26	24556	toolshed.g2.bx.psu.edu/repos/bgruening/deeptools/deeptools_bamCompare/1.1.0	1.1.0	24577		
1592	2014-09-26	24565	toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_BamIndexStats/1.56.0	1.56.0	24578		
1594	2014-09-26	24584	toolshed.g2.bx.psu.edu/repos/iuc/gemini/gemini_lof_sieve/@version@.0	@version@.0	24579		
1594	2014-09-26	24583	toolshed.g2.bx.psu.edu/repos/iuc/gemini/gemini_comp_hets/0.10.0.0	0.10.0.0	24579		
1596	2014-09-30	24610	toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/1.1.4		24609	toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3	
1598	2014-10-01	24627	toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/1.1.4	1.1.4	24623		
1598	2014-10-01	24627	toolshed.g2.bx.psu.edu/repos/devteam/sam_to_bam/sam_to_bam/1.1.4	1.1.4	24626	toolshed.g2.bx.psu.edu/repos/devteam/bwa_wrappers/bwa_wrapper/1.2.3	1.2.3
1601	2014-10-27	24650	toolshed.g2.bx.psu.edu/repos/devteam/fastqtofasta/fastq_to_fasta_python/1.0.0	1.0.0	24648		
1601	2014-10-27	24652	toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_blastn_wrapper/0.1.00	0.1.00	24651	toolshed.g2.bx.psu.edu/repos/devteam/ncbi_blast_plus/ncbi_makeblastdb/0.0.5	0.0.5
